date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:12:32	76374/76374	---M-Z	200	added ('OK')	text/html	date:Mon,%2016%20Jun%202025%2011:17:04%20GMT	https://tradeoakcapital.app/home/index.html	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/Trading%20site/tradeoakcapital.app/home/index.html	(from )
03:12:35	303915/303915	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Jun%202022%2014:14:14%20GMT	https://tradeoakcapital.app/home/img/bg4.png	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/Trading%20site/tradeoakcapital.app/home/img/bg4.png	(from https://tradeoakcapital.app/home/index.html)
03:12:37	143251/143251	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Sep%202021%2002:45:12%20GMT	https://tradeoakcapital.app/home/css/libs.css	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/Trading%20site/tradeoakcapital.app/home/css/libs.css	(from https://tradeoakcapital.app/home/index.html)
03:12:39	122454/122454	---M-Z	200	added ('OK')	text/css	date:Tue,%2002%20Nov%202021%2021:32:04%20GMT	https://tradeoakcapital.app/home/css/main.css	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/Trading%20site/tradeoakcapital.app/home/css/main.css	(from https://tradeoakcapital.app/home/index.html)
03:12:40	18141/18141	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268631292-46dd%22	https://www.smartsuppchat.com/loader.js?	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/Trading%20site/www.smartsuppchat.com/loaderd41d.js	(from https://tradeoakcapital.app/home/index.html)
03:12:44	796/796	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2010:12:37%20GMT	https://tradeoakcapital.app/home/%e2%80%9chttps://www.smartsupp.com%e2%80%9d	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/Trading%20site/tradeoakcapital.app/home/%e2%80%9chttps_/www.smartsupp.com%e2%80%9d	(from https://tradeoakcapital.app/home/index.html)
03:12:46	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Tue,%2008%20Jul%202025%2010:12:42%20GMT	http://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/Trading%20site/translate.google.com/translate_a/element.7a0d8.delayed	(from https://tradeoakcapital.app/home/index.html)
03:12:47	1428829/1428829	---M--	200	added ('OK')	image/png	date:Fri,%2023%20May%202025%2014:36:10%20GMT	https://tradeoakcapital.app/home/logo-mini1.png	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/Trading%20site/tradeoakcapital.app/home/logo-mini1.png	(from https://tradeoakcapital.app/home/index.html)
03:12:48	78441/78441	---MC-	200	added ('OK')	text/javascript	date:Tue,%2008%20Jul%202025%2010:12:44%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/Trading%20site/translate.google.com/translate_a/elementa0d8.js	(from https://tradeoakcapital.app/home/index.html)
03:12:52	58542/58542	---M-Z	200	added ('OK')	text/html	date:Mon,%2016%20Jun%202025%2011:18:14%20GMT	https://tradeoakcapital.app/home/Home/Plan.html	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/Trading%20site/tradeoakcapital.app/home/Home/Plan.html	(from https://tradeoakcapital.app/home/index.html)
03:12:54	57548/57548	---M-Z	200	added ('OK')	text/html	date:Mon,%2016%20Jun%202025%2015:50:34%20GMT	https://tradeoakcapital.app/home/Home/About.html	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/Trading%20site/tradeoakcapital.app/home/Home/About.html	(from https://tradeoakcapital.app/home/index.html)
03:12:54	54487/54487	---M-Z	200	added ('OK')	text/html	date:Mon,%2016%20Jun%202025%2015:47:05%20GMT	https://tradeoakcapital.app/home/Home/Contact.html	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/Trading%20site/tradeoakcapital.app/home/Home/Contact.html	(from https://tradeoakcapital.app/home/index.html)
03:12:55	58027/58027	---M-Z	200	added ('OK')	text/html	date:Mon,%2016%20Jun%202025%2011:18:38%20GMT	https://tradeoakcapital.app/home/Home/Help.html	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/Trading%20site/tradeoakcapital.app/home/Home/Help.html	(from https://tradeoakcapital.app/home/index.html)
03:12:58	85080/85080	---M-Z	200	added ('OK')	text/html	date:Mon,%2016%20Jun%202025%2011:17:46%20GMT	https://tradeoakcapital.app/home/Home/Terms.html	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/Trading%20site/tradeoakcapital.app/home/Home/Terms.html	(from https://tradeoakcapital.app/home/index.html)
03:12:58	1489755/1489755	---M--	200	added ('OK')	image/png	date:Fri,%2023%20May%202025%2014:31:06%20GMT	https://tradeoakcapital.app/home/logo1.png	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/Trading%20site/tradeoakcapital.app/home/logo1.png	(from https://tradeoakcapital.app/home/index.html)
03:12:58	1489755/1489755	---M--	200	added ('OK')	image/png	date:Fri,%2023%20May%202025%2014:33:53%20GMT	https://tradeoakcapital.app/home/logo.png	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/Trading%20site/tradeoakcapital.app/home/logo.png	(from https://tradeoakcapital.app/home/index.html)
03:12:59	796/796	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2010:12:55%20GMT	https://tradeoakcapital.app/s3.tradingview.com/external-embedding/embed-widget-ticker-tape.js	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/Trading%20site/tradeoakcapital.app/s3.tradingview.com/external-embedding/embed-widget-ticker-tape.js	(from https://tradeoakcapital.app/home/index.html)
03:13:00	13617/13617	---MCZ	200	added ('OK')	text/javascript	etag:%22d68c5b224fc2b396e60251c5e41410d4%22	https://s3.tradingview.com/external-embedding/embed-widget-ticker-tape.js	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/Trading%20site/s3.tradingview.com/external-embedding/embed-widget-ticker-tape.js	(from https://tradeoakcapital.app/home/index.html)
03:13:08	165859/165859	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Jan%202022%2002:12:44%20GMT	https://tradeoakcapital.app/home/img/DD.jpg	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/Trading%20site/tradeoakcapital.app/home/img/DD.jpg	(from https://tradeoakcapital.app/home/index.html)
