date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:00:36	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2010:00:32%20GMT	https://www.tranzit.com.ng/robots.txt		(from )
03:00:44	52204/52204	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Jul%202025%2010:00:33%20GMT	https://www.tranzit.com.ng/n/	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/one/www.tranzit.com.ng/n/index.html	(from )
03:00:46	3020/3020	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-bcc%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.1.3/assets/owl.carousel.min.css	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/one/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.1.3/assets/owl.carousel.min.css	(from https://www.tranzit.com.ng/n/)
03:00:51	9776/9776	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Mar%202025%2014:20:14%20GMT	https://www.tranzit.com.ng/n/css/style.css	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/one/www.tranzit.com.ng/n/css/style.css	(from https://www.tranzit.com.ng/n/)
03:00:52	1807/1807	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Mar%202025%2014:20:14%20GMT	https://www.tranzit.com.ng/n/css/responsive.css	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/one/www.tranzit.com.ng/n/css/responsive.css	(from https://www.tranzit.com.ng/n/)
03:00:54	192348/192348	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Mar%202025%2014:20:14%20GMT	https://www.tranzit.com.ng/n/css/bootstrap.css	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/one/www.tranzit.com.ng/n/css/bootstrap.css	(from https://www.tranzit.com.ng/n/)
03:00:55	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2010:00:51%20GMT	https://tranzit.com.ng/t/admin/images/TranzitPay.gif	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/one/tranzit.com.ng/t/admin/images/TranzitPay.4.delayed	(from https://www.tranzit.com.ng/n/)
03:00:56	52204/52204	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Jul%202025%2010:00:52%20GMT	https://www.tranzit.com.ng/n/index	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/one/www.tranzit.com.ng/n/index-2.html	(from https://www.tranzit.com.ng/n/)
03:00:58	4063/4063	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Jul%202025%2010:00:54%20GMT	https://www.tranzit.com.ng/n/loginn	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/one/www.tranzit.com.ng/n/loginn.html	(from https://www.tranzit.com.ng/n/)
03:00:59	5692/5692	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Jul%202025%2010:00:54%20GMT	https://www.tranzit.com.ng/n/register	C:/Users/WELCOME/Documents/FRONTEND%20PROJECTS/Beginner%20Projects/My%20Web%20Sites/one/www.tranzit.com.ng/n/register.html	(from https://www.tranzit.com.ng/n/)
